Sample	BeeP-01-2013	BeeP-02-2013	BeeP-03-2013	BeeP-04-2013	BeeP-05-2013	BeeP-06-2013	BeeP-07-2013	BeeP-08-2013	BeeP-09-2013	BeeP-10-2013	BeeP-11-2013	BeeP-12-2013	BeeP-13-2013	BeeP-14-2013	BeeP-15-2013	BeeP-16-2013	BeeP-17-2013	BeeP-18-2013	BeeP-19-2013	BeeP-20-2013	BeeP-21-2013	BeeP-22-2013	BeeP-23-2013	BeeP-24-2013	BeeP-25-2013	BeeP-26-2013	BeeP-27-2013	BeeP-28-2013	BeeP-29-2013	BeeP-30-2013	BeeP-31-2013	BeeP-32-2013	BeeP-33-2013	BeeP-34-2013	BeeP-35-2013	BeeP-36-2013	BeeP-37-2013	BeeP-38-2013	BeeP-39-2013	BeeP-40-2013	BeeP-41-2013	BeeP-42-2013	BeeP-43-2013	BeeP-44-2013	BeeP-45-2013	BeeP-46-2013	BeeP-47-2013	BeeP-48-2013	BeeP-49-2013	BeeP-50-2013	BeeP-Q1-2013	BeeP-Q2-2013	BP10	BP11	BP12	BP13	BP14	BP15	BP16	BP17	BP18	BP19	BP1	BP20	BP21	BP22	BP23	BP24	BP25	BP26	BP27	BP28	BP29	BP2	BP30	BP31	BP32	BP33	BP34	BP35	BP36	BP37	BP38	BP39	BP3	BP40	BP41	BP42	BP43	BP44	BP45	BP46	BP47	BP48	BP49	BP4	BP50	BP5	BP6	BP7	BP8	BP9
BP10_NODE_964_length_746_cov_0_147200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	4	2	0	6	0	9	0	0	0	0	0	2	29	0	3	5	0	44	4	0	0	38	0	0	0	0	0	0	0	2	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	2	3
BP10_NODE_1166_length_687_cov_0_349823	0	2	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	7	10	2	17	0	2	0	0	0	0	0	0	11	0	0	0	0	16	12	0	0	83	0	0	0	0	2	2	0	0	6	0	0	0	0	0	4	0	2	0	0	0	9	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	3	0	2	2	2	0	0
BP10_NODE_1208_length_678_cov_0_166966	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP10_NODE_1701_length_596_cov_0_267368	0	0	2	17	4	0	4	2	767	0	26	73	16	0	0	1	7	158	2	0	0	17	976	60	193	121	22	0	0	0	0	2210	2	23	372	7	185	2	1892	157	37	2	99	95	0	69	142	1	12	5	38	10	218	15	188	0	0	0	0	36	8	111	10	6	2	3	0	0	303	4	50	15	1	16	83	6750	12	0	6	0	7	19	0	2	2	3646	3455	30	7	49	2	3	45	0	87	0	0	0	6	4	4	26
BP10_NODE_2233_length_543_cov_0_462085	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	10	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	4	2	2	0	43	0	0	4	0	8	0	2	0	0	0	0	8	0	0	2	0	0	0	2	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	6	6	0	0
BP10_NODE_2394_length_533_cov_0_281553	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BP10_NODE_2427_length_531_cov_0_160976	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	21	0	15	0	0	1	0	0	5	10	0	0	0	2	46	6	0	0	41	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0
BP11_NODE_2_length_5933_cov_8664_753785	0	0	0	0	0	2	0	6	2	0	0	2	0	0	5	2	4	0	0	6	0	10	0	0	4	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2548745	0	166	2	4	2	9	0	2	4	0	0	70	8686122	103	0	0	0	0	1125	133	389	0	0	0	5526269	4	2	7	0	1	0	0	4	9	2	3	0	0	9	0	0	0	0	4	0	0	0	2	0	0	3	0	0	0	9	0	0	0	4	0	6
BP11_NODE_41_length_1174_cov_1_003799	0	0	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	46	232	7	0	0	5	0	0	2	5	0	0	1	0	4	0	4	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
BP11_NODE_218_length_562_cov_0_321995	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	2	0	0	0	24	19	2	0	0	0	0	0	2	2	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	2	0	0	0	0	0
